domain,email,status
https://neemans.com,No email found,Active
https://www.justdial.com,No email found,Status 403
https://www.superkicks.in,care@superkicks.in,Active
https://www.skechers.in,No email found,Active
https://dir.indiamart.com,No email found,Status 403
https://www.metroshoes.com,Error accessing site,Error
https://www.nike.com,No email found,Active
https://www.bata.com,Error accessing site,Error
http://www.shoeartindia.com,"grievances@tradeindia.com, grievances@tradeindia.comAll, helpdesk@tradeindia.com, helpdesk@tradeindia.com.All, helpdesk@tradeindia.com.Users, legal@tradeindia.com",Active
https://www.myntra.com,Error accessing site,Error
